version,date,description
b10052,2026-07-16T21:22:47Z,"hexagon: L2 cache handling rework (dirty bit tracking with lazy flushing) and more MUL_MAT updates (#25762) | hex-mm: fix artificial limit in the solver that restricted number of act-prep threads | hex-mm: fix warning | hex-prof: do not apply --top to the timeline report | hmx-mm: add suport for tiled act-processing to better distribute hvx work | hex-l2: add tracing for l2flush events | workqueue: redo the legacy workpool api to match hmx-queue and dma-queue | hmx-mm: fix f32 activation buffer alignmnet for nhvx=5,6,7 | hex-work: minor cleanup for work-queue apis | hex-work: further cleanup of the work-queue api | hex-l2: optimize l2flushes at the opbatch level | hex-work: remove unused mask | hex-work: no need to drop hvx ctx in the work-queue | hex-work: add explicit wakeup/suspend and make threads spin | hex-bufs: mark any non-weight tensor as compute | hex-dma: dma-queue support for alias queues and cached dma | hex-l2: track tensor aliases and delay or skip flushes as much as possible | hex-l2: simplify tensor alias handling | hex-l2: handle overlapping views as a circular list of aliases | hex-tens: add flags helper | hex-l2: add helper for marking tensors clearn/dirty | hex-l2: mark binary and rope outputs as l2-clean and keep the rest as is for now | hex-l2: proper support for handling all tensor overlap scenarios | hex-trace: instrument matmul init code and cleanup trace checks | hex-thread: introduce dedicated main thread with explicit stack and priority | hex-l2: track dirty state as bitmap and introduce threaded flush | hex-trace: remove redundant checks for ctx != null | hex-l2: allocate entire context as one buffer and l2fetch it after big flushes | hex-l2: disable tensor clearing in binary and rope for now seems to cause issues with fusion | hmx-mm: update act proc to use fastdivs and fix DMA overflow | hmx-mm: make MUL_MAT_ID kernels robust to multi-chunk cases (start_row>0) | hex-queue: remove obsolete queue interfaces and flush hmx-queue at the end of the op-batch | hex-queue: dont use early wakeup for small op-batches | hex-tensors: properly cap max_tensors in op-batches and dirty_map | hex-l2: make sure threaded l2flush does proper rounding | hex-l2: factor out htp_tensor_flush for reuse (if needed) | hex-l2: optimize tensor flushes by coalescing flush-all | hex-l2: optimize multi-threaded flush | hex-drv: futureproof version checks | hexagon: fix errors and warnings on windows | hex-main: update main thread to only use dspqueue_read, dspqueue_peek is not available on some platforms | hex-main: add fallback mode for dspqueue with callbacks | hex-main: introduce fallback mode for using dspqueue callbacks for full op processing | hex-main: remove early wakeup, not helping and seems to cause some errors with certain batch sizes | hex-l2: make sure to use invalidate version of flushall | hex-l2: dont try to trace early l2flush at the start of op-batch | hex-main: remove offset_ctx that must be zero anyway | hex-hmx: fix hmx_queue_depth to use idx_write - idx_read | hex-hmx: use atomic_load for idx_read/write | hex-main: add static assert to make sure n_threads are aligned"
b10051,2026-07-16T20:49:17Z,"kleidiai: Add SME vs SME2 distinction in kernel dispatch (#25478) The current integration treats SME as a single capability (CPU_FEATURE_SME) with no distinction between SME(v1) and SME2. The kernels dispatched under CPU_FEATURE_SME use SME2-specific instructions, making dispatch incorrect on SME(v1)-only hardware. We introduce build-time and runtime distinction between SME and SME2, and wire SME(v1) and SME2 kernels based on actual hardware support."
b10050,2026-07-16T20:08:10Z,"vulkan: when using transfer queue for async copies, sync on event_wait to avoid race (#25229)"
b10048,2026-07-16T19:22:50Z,"TP: fix Phi3, Bert, Plamo2/3, ChatGLM (#25536)"
b10047,2026-07-16T18:45:10Z,vendor: update BoringSSL to 0.20260713.0 (#25624)
b10046,2026-07-16T17:06:33Z,tests: actually exercise `test-recurrent-state-rollback` (#25758)
b10045,2026-07-16T16:09:34Z,server : allow text-only slot save/restore with mtmd (#25076)
b10043,2026-07-16T14:02:33Z,CUDA: Support CUDA Virtual Devices (#25228) | support cuda virtual devices | disable NCCL path when virtual devices are used | label virtual devices in description; add GPUx2 server CI jobs | code refactor
b10042,2026-07-16T11:23:24Z,Enable CUDA graphs on volta+turing (#25749)
b10041,2026-07-16T10:37:01Z,server: Ignore empty / non-existing `Origin` headers (#25756) Otherwise this gives lots of unnecessary warnings: W srv operator(): (CORS) skip non-localhost origin:
b10040,2026-07-16T09:55:55Z,"ggml-cuda : restore prop.integrated on HIP builds (#24233) PR #16308 set info.devices[id].integrated = false unconditionally for all CUDA/HIP devices as a workaround for corrupted output on Jetson Orin (#15034). On HIP/ROCm the device's real hipDeviceProp_t.integrated flag is needed: with the cached field forced to false, supports_buft() refuses CUDA host buffers on AMD APU/UMA parts, while get_type() already reads prop.integrated (#23007) — an inconsistency that breaks integrated-GPU host-buffer use on ROCm. Guard the workaround so it only applies to non-HIP (CUDA) builds and restore prop.integrated for HIP, keeping the Jetson workaround intact for CUDA. Fixes #23977 Signed-off-by: liminfei-amd"
b10038,2026-07-16T06:57:28Z,ci : add official website link to release notes (#25728) Assisted-by: pi:llama.cpp/Qwen3.6-27B
b10037,2026-07-16T06:15:08Z,quant : allow using manual tensor types with --pure (#25716)
b10036,2026-07-16T05:31:04Z,opencl: disable FA and MoE weights repack to work around compiler issues for Adreno 850 GPU (#25745) | opencl: workaround for A850 compiler compat | opencl: fix DX compiler version parsing and cleanup --------- Co-authored-by: Li He
b10035,2026-07-16T04:59:14Z,cuda: extract Q1_0 elements via __byte_perm (#25628)
b10034,2026-07-15T20:34:35Z,"opencl: exclude some moe kernels on Adreno a7x (#25698) | opencl: exclude Adreno A7x from using Adreno MoE kernels Some compilers for A7x devices miscompile the repack kernels, corrupting the weights and causing MoE models to generate garbage output | opencl: exclude A6x and unknown Adreno from MoE weights repack"
b10032,2026-07-15T19:52:26Z,"cuda : CUDA GGML_OP_LIGHTNING_INDEXER implementation (generic vector kernel + wmma kernel) (#25545) | cuda : CUDA GGML_OP_LIGHTNING_INDEXER implementation (generic vector kernel + wmma kernel) | chore : remove indentation of #pragma unroll | cuda : remove unnecessary kernel template declarations | cuda : add WARPS_PER_BLOCK and K_VECS_PER_BLOCK template parameters in lightning indexer kernels to avoid duplication of constants. | cuda : relax MMA architecture requirements to Turing in lightning indexer implementation | chore : renamed variables | chore : rename ggml_cuda_op_lightning_indexer() to ggml_cuda_lightning_indexer() | chore : TODO for AMD rocWMMA | chore : whitespace formatting | chore : another variable rename to fix problems caused by shadowing | chore : yet another rename, this time uppercased all constants | cuda : added alignment checks for Q and K tensors in lightning indexer implementation --------- Co-authored-by: Stanisław Szymczyk"
b10031,2026-07-15T19:15:50Z,"tokenize : drop --stdin mutual-exclusion check (#25672) match cli and completion, which don't enforce it"
b10025,2026-07-15T16:10:34Z,cuda : relax tensor contiguity requirements for quantized concat (#25678) | cuda : relax tensor contiguity requirements for quantized concat | tests : add test cases for non-contiguous quantized concat | ggml : relax contiguity requirements for quantized concat --------- Co-authored-by: Stanisław Szymczyk
b10021,2026-07-15T14:19:40Z,DeepseekV4: reduce graph splits (#25702)
b10020,2026-07-15T13:38:02Z,"sycl : fix get_rows Q2_K, Q4_K, Q5_K (#25656)"
b10019,2026-07-15T13:01:03Z,sycl : support kernel type fp16 for conv2d_dw (#25653)
b10018,2026-07-15T12:21:48Z,sycl : implement xielu op (#25550)
b10017,2026-07-15T11:37:27Z,"sycl: Increase minimum buffer size for USM system allocations (#25525) Raise the threshold for minimum buffer size from 1 GiB to 4 GiB, based on real-world experiments of overcommitting device memory with model weights larger than available VRAM, for example Qwen3.5-35B-A3B-Q8 running on a B70. Also add a debug message to better track USM system allocations. Signed-off-by: Francois Dugast"
b10016,2026-07-15T09:10:19Z,"[SYCL] Flash Attention with XMX engine via oneDNN (#25222) | [SYCL] F16 (default) Flash Attention with XMX engine via oneDNN graph API; Qwen3.6-27b-Q8_0 prefill speed up x1.21 at p=512 and x4.26 at p=80k | [SYCL] Address review on FA oneDNN path. Result: llama-bench---pp512; 32% increase with fa1; llama-perplexity---0.11% difference; tested model: mradermacher/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf | PR-25222 revision v2: addressed audits | [SYCL] flash-attn oneDNN SDPA KV F16 rev 3.0: add BMG gate + multi-device sync. Narrow the scrope of this PR to Battlemage only (bmg; Xe2). Other archs (e.g., alchemist) fall back to existing FA kernel. When device_count >1, apply stream -> wait_and_throw(), validated working path for multi-gpu sync fix by @maxious. Co-authored-by: maxious | updated comment on bmg gate, noted the issue --------- Co-authored-by: scientist3 Co-authored-by: hmscider Co-authored-by: maxious"
b10015,2026-07-15T03:24:21Z,opencl: do not use `clCreateBufferWithProperties` when targeting CL 2.x (#25673)
b9999,2026-07-14T11:23:47Z,kleidiai : add SME2 f32 kernel (#24414) | kleidiai : add SME2 f32 kernel | enable dynamic scheduling for SME2 f32 kernel
b9996,2026-07-14T10:41:38Z,"arg: Flush log before exiting after usage() (#25504) Under certain conditions, it's possible for messages emitted via LOG() to get lost before exit, apparently because they are emitted by another thread. common_params_print_usage() uses printf directly, and is not affected. Flushing the log before exit seems to resolve this."
b9995,2026-07-14T09:44:45Z,"sycl: set fattn_vec_nthreads to 256 for Battlemage (#25205) Currently detects lunarlake + battlemage / xe2 and sets the value to 256. Keeps default at 128, Intel's ARC Alchemist's prefered value."
b9994,2026-07-14T05:29:11Z,metal : add Q2_0 support (#25419)
b10012,2026-07-14T21:34:17Z,hexagon: fix hmx-queue signal enum-narrowing problem (#25677)
b10011,2026-07-14T20:55:37Z,server : refactor prompt cache state ownership (#25649) | server : clear checkpoints upon prompt clear | server : move the prompt state data to the server_prompt_cache Assisted-by: pi:llama.cpp/Qwen3.6-27B | server : handle batched slot being cleared
b10010,2026-07-14T20:26:04Z,"server: add --cors-* options (#25655) | server: add --cors-* options | add special ""localhost"" value | add tests | fix test | add link to PR"
b10007,2026-07-14T19:42:26Z,opencl: fix a dp4a bug for devices where cl_khr_integer_dot_product is unavailable (#25639) | opencl: do not fail backend init on devices without cl_khr_integer_dot_product | opencl: do not call dp4 kernels when dp is unavailable --------- Co-authored-by: Li He
b10005,2026-07-14T18:57:52Z,DeepseekV4: fix seq_rm (#25588) | DeepseekV4: fix seq_rm | implement proper seq_cp | create actual update context
b10004,2026-07-14T18:17:12Z,"vulkan/cpu: Support f16 as SET_ROWS src. (#25432) | vulkan/cpu: Support f16 as SET_ROWS src. This adds full support for f16 SET_ROWS (equivalent to f32) to vulkan and CPU backends, and adds more backend tests. | Set DenormPreserve 16 when supported, to try to fix failures on Intel | tune error threshold | update metal supports_op"
b10003,2026-07-14T17:42:45Z,"tokenize : align usage by using common args (#25516) Migrate the tokenize tool to common_params_parse, replacing its hand-rolled argv parsing, Windows UTF-8 handling and file reading with the shared common helpers. Expose the model-sourcing flags (-m, -mu, -dr, -hf, -hff, --offline, HF_TOKEN) to LLAMA_EXAMPLE_TOKENIZE, and register --ids, --stdin, --no-bos, --no-parse-special and --show-count as common args. parse_special defaults to true for TOKENIZE to preserve the old behavior. Errors now go through LOG_ERR instead of fprintf(stderr). Signed-off-by: Adrien Gallouët"
b10002,2026-07-14T15:19:55Z,ggml : add a set of functions for checking contiguity of inner tensor dimensions (#25650) Co-authored-by: Stanisław Szymczyk
b10001,2026-07-14T12:46:17Z,tests: export-graph-ops: exit gracefully when called w/o arguments (#25619) Fixes a segfault when `test-export-graph-ops` is called without any arguments.
b10000,2026-07-14T12:06:19Z,ggml: uniformize im2col dst_type for all conv ops (#23660) | ggml: uniformize im2col dst_type for all conv ops | Update ggml/src/ggml.c Co-authored-by: Georgi Gerganov | ggml : uniformize im2col casting logic across all conv ops | fix : allow im2col_f16 to accept any kernel type --------- Co-authored-by: Georgi Gerganov
b9993,2026-07-13T23:09:16Z,"model: add Hy3 (hy_v3) support with MTP speculative decoding (#25395) | model: add Hy3 (hy_v3) architecture support Adds Tencent Hunyuan 3 (HF architecture HYV3ForCausalLM, GGUF arch hy_v3): a MoE decoder stack with per-head Q/K RMSNorm, a sigmoid router with expert selection bias, an always-active ungated shared expert, and leading dense block(s) (first_k_dense_replace). The base implementation is ported from charlie12345's fork (https://github.com/charlie12345/ROCmFPX, src/models/hyv3.cpp), adapted to current mainline APIs (hparams.n_layer(), build_qkv, build_moe_ffn with fused gate_up + scale tensors, output_s). Note: blk.N.exp_probs_b is stored without a .bias suffix for compatibility with existing hy_v3 GGUFs produced by that fork. Co-Authored-By: charlie12345 Co-authored-by: Piotr Wilkin Assisted-by: Claude Fable 5"
b9992,2026-07-13T21:04:47Z,CUDA: refactor MMQ kernel configuration (#24127) | CUDA: refactor MMQ kernel configuration | fix Blackwell config | remove legacy code
b9990,2026-07-13T19:51:41Z,spec: add Minimax2 eagle3 support | Fix nullptr in minimax2 EAGLE3 | minor : add newline --------- Co-authored-by: Georgi Gerganov
b9988,2026-07-13T19:10:17Z,"tests: Harmonize header use (#25616) | tests: Harmonize the use of private ggml includes | tests: In test-backend-ops, use quoted includes As with all other tests. This is to ensure that the build uses shipped headers over possibly system-installed ones."
b9987,2026-07-13T15:40:41Z,"gguf : add tensor shape accessor (#24405) | gguf : add tensor shape accessors | gguf : return tensor shape as const int64_t * | gguf : remove n_dims accessor, keep only gguf_get_tensor_ne"
b9986,2026-07-13T09:06:33Z,chat : fix reasoning leak with force-opened bare templates (#24674) | chat : fix reasoning leak with force-opened bare templates The reasoning start tag inferred from prior turns can carry trailing whitespace (e.g. \n) while a force-open template prefills a bare . Trim the tag used for the prefix split so the bare prefill is matched instead of being swallowed into content. | chat : fix Nemotron Nano v2 regression --------- Co-authored-by: Alde Rojas
b9985,2026-07-13T08:32:45Z,"sycl: add fused top-k MoE (#25217) | sycl: add fused top-k MoE | sycl: address review: GGML_SYCL_ENABLE_FUSION env, move fusion dispatch to topk-moe | sycl: print GGML_SYCL_ENABLE_FUSION at startup like other env vars Co-Authored-By: Claude Fable 5 --------- Co-authored-by: Claude Fable 5"
b9984,2026-07-13T07:38:28Z,sycl: add Q2_K to DMMV reorder path (#25064) Signed-off-by: Todd Malsbary
b9982,2026-07-13T01:28:35Z,"server: honour per-request reasoning_budget_tokens in chat completions (#23116) | server: honour per-request reasoning_budget_tokens in chat completions The reasoning-budget block in oaicompat_chat_params_parse read only the server-level default (opt.reasoning_budget, typically -1) and the Anthropic-style alias thinking_budget_tokens, but never the canonical reasoning_budget_tokens field from the request body. Because the key was then written into llama_params before the generic body-copy loop ran, the copy loop found the key already present and silently skipped the caller-supplied value. Any per-request override (e.g. 0 to suppress thinking entirely) was therefore discarded. Fix: read reasoning_budget_tokens from the request body first, so the value that reaches the sampling layer is the one the caller intended. Add a unit test in test-chat.cpp that exercises this path via oaicompat_chat_params_parse with a Qwen3 template (which the autoparser detects as a thinking-capable model) and asserts the returned llama_params carries reasoning_budget_tokens == 0. | server: honour per-request reasoning_budget_message in chat completions The reasoning-budget block in oaicompat_chat_params_parse wrote reasoning_budget_message into llama_params straight from the server-level default (opt.reasoning_budget_message) and never read the canonical reasoning_budget_message field from the request body. Because the key was written before the generic body-copy loop ran, that loop found the key already present and silently skipped the caller-supplied value. Any per-request override of the message injected before the end tag when the budget is exhausted was therefore discarded, even though server-task.cpp already reads reasoning_budget_message from that data. This mirrors the reasoning_budget_tokens bug fixed in the previous commit. Fix: read reasoning_budget_message from the request body first, falling back to the server default, so the value that reaches the sampling layer is the one the caller intended. While here, collapse the adjacent reasoning_budget_tokens override to a single json_value() call; json_value already falls back to the default on a missing/null/wrong-type key, so the explicit body.contains() guard was redundant. No behavioral change. Add a unit test in test-chat.cpp that exercises this path via oaicompat_chat_params_parse with a Qwen3 template (which the autoparser detects as a thinking-capable model) and asserts the returned llama_params carries the per-request reasoning_budget_message rather than the server default. | cleanup --------- Co-authored-by: Xuan Son Nguyen"
b9981,2026-07-13T00:53:43Z,vendor : update cpp-httplib to 0.50.1 (#25576)
b9980,2026-07-13T00:07:05Z,server: Don't consider models with --no-mmproj-auto as multimodal (#25590) If mmproj is explicitly disabled via the model preset or command-line parameters then the model won't be able to handle image/audio inputs and this shouldn't be declared as supported input modality on the /v1/models endpoint.
b9979,2026-07-12T23:36:43Z,"mtmd: fix silent prompt truncation on embedded NUL (#25548) | mtmd: fix silent prompt truncation on embedded NUL mtmd_input_text carried the prompt as a bare const char* with no length, so a NUL byte in message content cut the prompt at the tokenizer boundary and dropped every later message plus the assistant marker, with no log. Add an explicit text_len and thread it through, matching llama_tokenize and the text only path. | cleanup --------- Co-authored-by: Xuan Son Nguyen"
b9978,2026-07-12T21:32:41Z,server : evict checkpoints within min-step of each other (#25472)
b9977,2026-07-12T16:18:10Z,"server : fix image blocks in tool_result being dropped during Anthropic OpenAI conversion (#22536) | server : fix image blocks in tool_result being dropped during Anthropic→OpenAI conversion server_chat_convert_anthropic_to_oai() silently discarded image blocks inside Anthropic tool_result content. This broke multimodal tool outputs (e.g. a tool that returns an image) because the model never received the image. When tool_result contains image blocks, convert them to OpenAI multimodal content parts (text + image_url array). Plain-text results remain simple strings for backwards compatibility. | server : add test for image blocks in Anthropic tool_result conversion"
b9976,2026-07-12T15:22:50Z,Fix conditional to display 'LLAMA_SPLIT_MODE_TENSOR not implemented for architecture' message (#24926)
b9975,2026-07-12T14:49:18Z,gguf : reject empty metadata keys (#24917)
b9974,2026-07-12T14:16:29Z,"cuda: Don't crash when querying memory on device with no free memory. (#25157) If a Cuda device has no or limited available memory, the actual call to cudaMemGetInfo() itself can cause a fatal crash due to a cuda out of memory error (there is not enough memory to actually query memory) This causes an issue because we query memory for all devices at startup even if the user isn't trying to use the device for inference. Fix this by making the error non-fatal and assigning zero total/free memory to the device. This will have the downstream effect of the fit algorithm not trying to put any layers on it, which is desired outcome vs hard crashing. this also prevents crashes in cuda enabled builds when user explicitly passes '-dev none'"
b9973,2026-07-12T13:40:08Z,DeepseekV4: clear cache only for seq rather than full (#25521)
b9972,2026-07-12T13:07:51Z,server: allow stream for exec_shell_command (#25526) | init stream | add stream for shell tool | add test | nits | update docs
b9971,2026-07-12T12:36:08Z,"server: refactor server_stream (#25541) | server: refactoring, remove spipe from server_http_res | wip | remove non-thread-safe rd.stop() call | move server_res_spipe | nits | improve server_stream_create_spipe | server-stream: update dev docs for the improved API --------- Co-authored-by: Pascal"
b9970,2026-07-12T12:03:02Z,"ggml : add GGML_OP_LIGHTNING_INDEXER that implements DeepSeek V3.2/V4 lightning indexer (#24231) | ggml : add GGML_OP_LIGHTNING_INDEXER that implements DeepSeek V3.2/V4 lightning indexer | ggml : remove scale parameters from lightning indexer OP, add f16 mask parameter | tests : add GGML_OP_LIGHTNING_INDEXER tests | ggml : bump RPC version | chore : check if lightning indexer input tensors are not transposed | tests : count flops instead of bandwidth in lightning indexer test | chore : add missing const | chore : whitespace | ggml : renamed variables in CPU lightning indexer implementation | ggml : fix lightning indexer mask broadcasting | tests : tests for lightning indexer mask broadcasting | chore : whitespace | llama : use GGML_OP_LIGHTNING_INDEXER in DeepSeek V3.2 and DeepSeek V4 models --------- Co-authored-by: Stanisław Szymczyk"
b9969,2026-07-12T05:30:33Z,Vulkan: route large matmuls to medium tile on Adreno (#24877) | [Vulkan] Fixes llama-cli breaking over longer promts sizes The llama-cli was breaking for longer promts sizes for q4_0 quantized networks. Causing due to insufficient shared memory. | Removed the un-used Adreno device | Updated matmul for small pipeline.
b9968,2026-07-12T01:12:46Z,opencl: add int8 dp4 dense and MoE prefill optimization for Adreno GPUs (#25537) | opencl: add int8 dp4 dense and moe GEMM | opencl: refactor --------- Co-authored-by: Li He
b9967,2026-07-12T00:43:27Z,"server: accept null sampling params (#25538) | server: accept null sampling params Extend the schema validation to treat a null value as absent, so clients can send null on nullable params (temperature, top_p, ...) to request the server default. This matches the OpenAI spec and the json_value convention used elsewhere. Add has_field() to skip null in the field eval guards. | has_field -> has_value​"
b9966,2026-07-11T18:54:38Z,"llama : make tensor-split regex patterns static (#24710) llama_meta_device_get_split_state() recompiled 29 std::regex on every call. In -sm tensor mode the callback runs once per tensor per token, so this dominated the decode thread in profiling. Mark them static const so they are compiled once. Kept inside the function (local statics are thread-safe since C++11). Patterns are literal and stateless, so behavior is unchanged."
b9965,2026-07-11T18:11:18Z,hexagon: improve ARGSORT performance for small tensors (#25512) | hex-sort: add efficient bitomic sort in hvx regs up to 1024 elements | hex-sort: fix inverted vrors | hex-sort: specialize sort functions for the common cases | hex-sort: add tracing and local context
b9964,2026-07-11T10:52:59Z,arg: prevent duplicate spec model downloads (#25527)
b9963,2026-07-11T08:38:28Z,mtmd: deepseek-ocr v1 multi-tile (#24717) | mtmd: deepseek-ocr v1 multi-tile dynamic resolution + unified image-preprocessors for both versions (ds-ocr v1 and v2) | remove hacky API | fuse row into a long image | almost working | adapt to new preprocessor api | rm debugging printf | improve | mtmd: dsocr-tiles fixes (#25481) | ds-ocr img-preproc fuse_row tile-drop fix for multi rows and columns images | mtmd drop the duplicate redundant img_end | deepseekocr graph simplify CLS broadcast cleanup | test-deepseek-ocr: relax v1 single-view tolerance; drop trailing prompt space; make DRY opt-in and n_predict model-specific (#25486) --------- Co-authored-by: Saba Fallah Co-authored-by: Saba Fallah
b9960,2026-07-11T08:01:52Z,server: remove loading.html (#25500) | server: remove loading.html | apply ui changes
b9959,2026-07-11T06:45:17Z,sync : ggml
b9957,2026-07-10T20:17:38Z,"server: improve tools, remove apply_diff (#25498) | server: improve tools, remove apply_diff | improve edit tool | add tools_io abstraction | add tools_io_basic | fix build | move utils to class member | add const"
b9956,2026-07-10T19:46:36Z,cli: fix crash on wrong server base url (#25497) | llama-cli: fix crash on wrong server base url by catching exceptions and graceful exit | review: leaner catch group: json error and standard exception
b9952,2026-07-10T17:18:39Z,"llama : make all KQ masks f16 if FA is used, remove zero attention bias, remove raw_k repeats in DeepSeek V4 (#25370) | llama : make all KQ masks (except the lightning indexer one) f16 if FA is used and remove zero attention bias in DeepSeek V4 | llama : remove dead code that repeats unified raw_k cache for each stream in DeepSeek V4 - no longer needed as raw_k is always non-unified. --------- Co-authored-by: Stanisław Szymczyk"
